id,subject,prompt,A,B,C,D,E,answer,prompt_ko,A_ko,B_ko,C_ko,D_ko,E_ko
18,us_history,Why had Great Britain failed to enforce the Navigation Acts before 1763?,"Smuggling had made the colonies, and therefore Britain, wealthier.",The royal governors in the colonies were disloyal to British interests.,Britain had no interest in what went on in the American colonies.,British representatives found it impossible to enforce laws that so many colonists were determined to ignore.,The colonists threatened the lives and property of the people paid to enforce the Navigation Acts.,D,영국은 왜 1763년 이전에 항해법을 시행하지 않았을까요?,밀수 덕분에 식민지와 영국은 더 부유해졌습니다.,식민지의 왕실 총독들은 영국의 이익에 불충실했습니다.,영국은 미국 식민지에서 벌어지는 일에 관심이 없었습니다.,영국 대표들은 수많은 식민지 주민들이 무시하기로 결심한 법을 집행하는 것이 불가능하다는 것을 깨달았습니다.,식민지 주민들은 항해법 시행을 위해 돈을 지불한 사람들의 생명과 재산을 위협했습니다.
19,us_history,The Sons of Liberty disguised themselves as Native Americans on the night of the Boston Tea Party for all these reasons EXCEPT:,They knew that Native Americans would never be accused or suffer any penalties for the destruction of the tea.,They did not want to be prosecuted for the crime of destroying property that was not theirs.,They wanted their friends and families to be able to say truthfully that they did not recognize them that night.,They knew that dressing up in costumes would add to the excitement and enthusiasm of the undertaking.,They hoped that Native Americans would be blamed for the storming of the Dartmouth.,E,"자유의 아들들이 보스턴 티 파티가 열리던 날 밤 아메리카 원주민으로 변장했던 이유는 단 하나, 이 모든 이유 때문입니다:",그들은 아메리카 원주민이 차를 파괴해도 고발당하거나 어떤 처벌도 받지 않을 것이라는 것을 알고 있었습니다.,그들은 자신의 소유가 아닌 재물을 파괴하는 범죄로 기소되기를 원하지 않았습니다.,그들은 친구와 가족들이 그날 밤 자신을 알아보지 못했다고 솔직하게 말할 수 있기를 바랐습니다.,그들은 의상을 차려입는 것이 이 프로젝트의 흥분과 열정을 더할 수 있다는 것을 알고 있었습니다.,그들은 다트머스호 습격의 책임을 아메리카 원주민에게 뒤집어씌우기를 바랐습니다.
20,us_history,Paul Revere chose to distort the facts in his engraving of the Boston Massacre primarily to,"unite people from all the colonies against the aggressor, Britain",satisfy his creative instincts as an artist,ensure that the redcoats would not receive a fair trial,ensure that history would portray Britain as a villain,prove that Crispus Attucks and his friends had died the deaths of heroes,A,폴 리비어는 보스턴 대학살을 조각하면서 사실을 왜곡하기로 한 이유는 주로 다음과 같습니다.,침략자 영국에 대항하여 모든 식민지의 사람들을 단결시킵니다.,예술가로서의 창의적 본능을 충족시키다.,레드코트가 공정한 재판을 받지 못하도록 보장합니다.,역사가 영국을 악당으로 묘사하지 않도록 하기 위해,크리스퍼스 어턱스와 그의 친구들이 영웅의 죽음을 증명하기 위해
21,us_history,"Why did the Northern delegates allow the removal from the Declaration of Independence a passage referring to the slave trade as a ""cruel war against human nature""?",They supported the slave trade.,They were slave owners from large plantations.,They did not like the implication that they were slaves of the king of Great Britain.,They thought the Southerners would not vote for independence if that passage was not removed.,They did not believe that this was the right time to free the slaves.,D,"북부 대표들은 왜 노예무역을 ""인간 본성에 대한 잔인한 전쟁""이라고 표현한 구절을 독립선언문에서 삭제하는 것을 허용했을까요?",그들은 노예 무역을 지원했습니다.,그들은 대규모 농장의 노예 소유주였습니다.,그들은 자신이 영국 왕의 노예라는 암시가 마음에 들지 않았습니다.,그들은 그 구절을 삭제하지 않으면 남부 주민들이 독립 투표를 하지 않을 것이라고 생각했습니다.,그들은 지금이 노예를 해방할 적절한 시기라고 믿지 않았습니다.
22,us_history,General Howe was determined to capture the city of Philadelphia primarily because,it was the capital city and such a capture would be prestigious,it was an important Atlantic seaport city,it had been the scene of most of the fierce resistance to the Acts of Parliament before the war began,it was the home of Benjamin Franklin,it was a Loyalist city and would welcome the arrival of the British,A,하우 장군이 필라델피아를 점령하기로 결심한 이유는 다음과 같습니다.,수도였고 그런 점령은 권위 있는 일이었습니다.,중요한 대서양 항구 도시였습니다.,전쟁이 시작되기 전 의회법에 대한 가장 격렬한 저항의 현장이었습니다.,벤자민 프랭클린의 고향이었습니다.,충성스러운 도시였고 영국군의 도착을 환영했습니다.
23,us_history,Which of the following lists the battles in the correct chronological order?,"Brandywine, Monmouth, Saratoga","Saratoga, Brandywine, Monmouth","Monmouth, Brandywine, Saratoga","Saratoga, Monmouth, Brandywine","Brandywine, Saratoga, Monmouth",E,다음 중 올바른 시간 순서로 전투를 나열한 것은?,"브랜디와인, 몬머스, 사라토가","사라토가, 브랜디와인, 몬머스","몬머스, 브랜디와인, 사라토가","사라토가, 몬머스, 브랜디와인","브랜디와인, 사라토가, 몬머스"
24,us_history,What was the primary purpose of the Olive Branch Petition?,To open trade between the United States and the Mediterranean nations of Greece and Italy,To ask King George III to bring about a reconciliation between Parliament and the colonies,To state the reasons for Americans to declare their independence from Great Britain,To urge Americans to declare independence from a corrupt hereditary monarchy,To justify America's decision to begin to take up arms against the redcoats,B,올리브 브랜치 청원의 주된 목적은 무엇인가요?,미국과 지중해 국가인 그리스 및 이탈리아 간의 무역을 개방하기 위해,조지 3세 왕에게 의회와 식민지 간의 화해를 요청하기 위해,미국인들이 영국으로부터 독립을 선언한 이유를 말하기 위해,미국인들이 부패한 세습 군주제로부터 독립을 선언하도록 촉구하기 위해,미국이 적군에 맞서 무기를 들기로 한 결정을 정당화하기 위해
25,us_history,The Articles of Confederation,were ratified by 9 of the 13 states and then became law,fixed the amount of the Revolutionary War debt Congress would have to repay,did not provide for an executive or judicial branch of the national government,established a strong central authority over the individual states,apportioned representation of each state according to its population,C,연맹 규약,13개 주 중 9개 주에서 비준되어 법으로 제정되었습니다.,의회가 상환해야 할 독립 전쟁 부채의 금액을 고정했습니다.,국가 정부의 행정부 또는 사법부를 제공하지 않았습니다.,개별 주에 대한 강력한 중앙 권한을 확립했습니다.,인구에 따라 각 주의 대표성을 배분합니다.
26,us_history,James Madison objected to the Articles of Confederation on all these grounds EXCEPT:,States were violating one another's rights.,Congress could not force states to pay their fair share of taxes.,States were making separate treaties with Native Americans.,Congress included delegates from each state.,States would never work together in their own best long-term interests.,D,제임스 매디슨은 이 모든 근거를 제외하고는 연방 조항에 반대했습니다:,국가들은 서로의 권리를 침해하고 있었습니다.,의회는 주정부가 정당한 몫의 세금을 납부하도록 강제할 수 없습니다.,각국은 아메리카 원주민과 별도의 조약을 체결하고 있었습니다.,총회에는 각 주에서 온 대표단이 참석했습니다.,국가는 자국의 장기적인 이익을 위해 협력하지 않을 것입니다.
27,us_history,All the following were direct or indirect consequences of the Articles of Confederation EXCEPT:,The United States acquired a large war debt.,The states gave up individual claims to lands outside their borders east of the Mississippi.,"The Northwest Territory was divided into smaller territories, each with its own governor.",An economic depression hit the United States in 1784.,Daniel Shays led a farmers' rebellion in Massachusetts.,A,다음 사항을 제외하고는 모두 연맹 규약의 직간접적인 결과입니다:,미국은 막대한 전쟁 부채를 떠안았습니다.,주들은 미시시피 동쪽 국경 밖의 땅에 대한 개인 소유권을 포기했습니다.,"노스웨스트 준주는 더 작은 영토로 나뉘었고, 각 영토마다 주지사가 있었습니다.",1784년 경제 불황이 미국을 강타했습니다.,다니엘 셰이즈는 매사추세츠에서 농민 반란을 이끌었습니다.
28,us_history,The Antifederalists opposed the Constitution primarily because,they thought the United States should be ruled by a constitutional monarchy,they did not want the central government to have too much control over the states,they opposed slavery and wanted a constitution that would outlaw it,they demanded equal representation for all the states,they wanted the Constitution to include The Northwest Ordinances,B,반연방주의자들은 주로 다음과 같은 이유로 헌법에 반대했습니다.,그들은 미국이 입헌 군주제에 의해 통치되어야 한다고 생각했습니다.,그들은 중앙 정부가 주를 너무 많이 통제하는 것을 원하지 않았습니다.,그들은 노예제도에 반대했고 노예제도를 금지하는 헌법을 원했습니다.,그들은 모든 주에 동등한 대표성을 요구했습니다.,그들은 헌법에 북서부 조례를 포함하기를 원했습니다.
29,us_history,Which of the following wrote the majority of the Federalist Papers?,Benjamin Franklin,Alexander Hamilton,John Jay,James Madison,George Washington,B,다음 중 연방주의자 논문의 대부분을 쓴 사람은 누구입니까?,벤자민 프랭클린,알렉산더 해밀턴,존 제이,제임스 매디슨,조지 워싱턴
30,us_history,Why did the delegates agree to keep the proceedings of the Constitutional Convention secret?,They knew their work would be unpopular with their constituents.,They did not want to be subjected to any outside pressures or influences.,They had received a number of threats to their lives.,They knew there were many foreign spies hoping to betray them.,They did not want to provoke an uprising among the people.,B,대의원들이 제헌 대회 진행 과정을 비밀로 유지하기로 합의한 이유는 무엇인가요?,그들은 자신들의 작업이 유권자들에게 인기가 없을 것이라는 것을 알고 있었습니다.,그들은 외부의 압력이나 영향을 받고 싶지 않았습니다.,그들은 여러 차례 생명의 위협을 받았습니다.,그들은 자신들을 배신하려는 외국 스파이가 많다는 것을 알고 있었습니다.,그들은 백성들 사이에서 반란을 일으키고 싶지 않았습니다.
31,us_history,All the following were important influences on the framers of the Constitution EXCEPT:,the Magna Carta,the English Bill of Rights,the Roman republic,The Spirit of the Laws,the Federalist Papers,E,다음을 제외하고는 모두 헌법 제정에 중요한 영향을 미쳤습니다:,마그나 카르타,영국 권리장전,로마 공화국,법의 정신,연방주의자 논문
32,us_history,Around which two central figures were the Federalist and Democratic-Republican parties organized?,George Washington and John Adams,Alexander Hamilton and John Adams,Alexander Hamilton and Thomas Jefferson,Thomas Jefferson and James Madison,John Adams and Thomas Jefferson,C,연방당과 민주-공화당 중 어떤 두 중심 인물을 중심으로 조직되었나요?,조지 워싱턴과 존 애덤스,알렉산더 해밀턴과 존 애덤스,알렉산더 해밀턴과 토마스 제퍼슨,토마스 제퍼슨과 제임스 매디슨,존 애덤스와 토마스 제퍼슨
33,us_history,What was the major aim of George Washington's foreign policy?,To remain friendly with but neutral toward all nations,To support the French monarchy during the French Revolution,To support the revolutionaries during the French Revolution,To stake a claim to the Louisiana territory,To settle the Northwest Territory as soon as possible,A,조지 워싱턴의 외교 정책의 주요 목표는 무엇이었나요?,모든 국가와 우호적인 관계를 유지하되 중립적인 태도 유지,프랑스 혁명 당시 프랑스 군주제를 지원하기 위해,프랑스 혁명 당시 혁명가들을 지원하기 위해,루이지애나 영토에 대한 소유권 주장하기,노스웨스트 준주를 가능한 한 빨리 정착시키기 위해
34,us_history,What was the Democratic-Republican response to the passage of the Alien and Sedition Acts?,The Treaty of Ghent,The Virginia and Kentucky resolutions,The Battle of Tippecanoe,The Judiciary Act,The Embargo Act,B,외국인 및 선동 법안 통과에 대한 민주-공화 양당의 반응은 어땠나요?,겐트 조약,버지니아 및 켄터키 결의안,티페카누 전투,사법부법,엠바고 법
35,us_history,All the following major changes first occurred in U.S. society between 1790 and 1825 EXCEPT:,"More than 100,000 Americans migrated westward.",The Industrial Revolution changed the economy and the way people worked.,The Erie Canal was completed.,Voting rights were expanded to include white men who did not own property.,Political leaders began disagreeing over the question of slavery.,E,다음의 모든 주요 변화는 1790년에서 1825년 사이에 미국 사회에서 처음 발생한 것들입니다:,10만 명 이상의 미국인이 서부로 이주했습니다.,산업혁명은 경제와 사람들의 일하는 방식을 변화시켰습니다.,이리 운하가 완공되었습니다.,투표권이 확대되어 재산을 소유하지 않은 백인 남성도 투표할 수 있게 되었습니다.,정치 지도자들은 노예제 문제를 놓고 의견이 엇갈리기 시작했습니다.
36,us_history,The Missouri Compromise stated all the following EXCEPT:,Missouri would be admitted to the Union as a slaveholding state.,Maine would be admitted to the Union as a free state.,"Slavery would be outlawed north of Missouri's southern border, except in Missouri itself.",No future state would be admitted to the Union as a slaveholding state.,"The balance of power in Congress would remain even, with 12 free states and 12 slaveholding states.",D,미주리 타협안에는 다음을 제외한 모든 내용이 명시되어 있습니다:,미주리주는 노예 보유 주로서 연방에 가입하게 됩니다.,메인주는 자유 주로서 연방에 가입하게 됩니다.,미주리주 남쪽 국경 이북에서는 미주리주 자체를 제외하고 노예제도가 불법화됩니다.,미래의 어떤 국가도 노예 보유 국가로 연방에 가입할 수 없습니다.,의회의 권력 균형은 자유 주 12개와 노예 보유 주 12개로 균등하게 유지됩니다.
37,us_history,How did the invention of the cotton gin affect the South?,Planters divided their large plantations into smaller farms.,"The economy boomed because one gin could do the work of 1,000 slaves.",Slavery began to be less profitable and started to die out.,Southerners began to build textile mills and make their own cloth for export and trade.,Southerners began building factories to manufacture more cotton gins.,B,코튼 진의 발명은 남부에 어떤 영향을 미쳤나요?,농장주들은 대규모 농장을 소규모 농장으로 나누었습니다.,"진 한 병으로 노예 1,000명의 일을 할 수 있었기 때문에 경제가 호황을 누렸습니다.",노예제도는 수익성이 떨어지기 시작했고 사라지기 시작했습니다.,남부 사람들은 방직 공장을 짓고 수출과 무역을 위한 천을 직접 만들기 시작했습니다.,남부 사람들은 더 많은 목화 진을 생산하기 위해 공장을 짓기 시작했습니다.
38,us_history,What was the purpose of the Monroe Doctrine?,To support democracy all over the world,To ally the United States with European interests,To encourage Latin American revolutionaries to rise up against the European colonial powers,To warn European nations not to invade or colonize the western hemisphere,To declare American neutrality in relations between Latin America and Europe,D,먼로 독트린의 목적은 무엇인가요?,전 세계의 민주주의를 지원하기 위해,유럽의 이익과 미국의 동맹을 위해,라틴 아메리카 혁명가들이 유럽 식민지 세력에 대항하여 봉기하도록 격려하기 위해,유럽 국가들에게 서반구를 침략하거나 식민지화하지 말라고 경고하기 위해,라틴아메리카와 유럽 간의 관계에서 미국의 중립을 선언하기 위해
39,us_history,"Who among the following did not belong to the literary community in Concord, Massachusetts?",Louisa May Alcott,Nathaniel Hawthorne,Bronson Alcott,Edgar Allan Poe,Henry David Thoreau,D,다음 중 매사추세츠 주 콩코드에 있는 문학 커뮤니티에 속하지 않은 사람은 누구입니까?,루이자 메이 알콧,나다니엘 호손,브론슨 알콧,에드거 앨런 포,헨리 데이비드 소로
40,us_history,What happened at the Seneca Falls Convention?,A constitutional amendment was passed granting women the right to vote.,A Declaration of Sentiments listing women's grievances was signed and published.,A riot broke out between those who supported and those who opposed women's rights.,The president of the United States pledged to make women's rights a major campaign issue.,Newspaper articles supporting the abolition of slavery were read and discussed.,B,세네카 폴스 컨벤션에서 무슨 일이 있었나요?,여성에게 투표권을 부여하는 헌법 개정안이 통과되었습니다.,여성들의 고충을 담은 성명서에 서명하고 이를 발표했습니다.,여성 인권을 지지하는 사람들과 반대하는 사람들 사이에 폭동이 일어났습니다.,미국 대통령은 여성의 권리를 주요 선거 이슈로 삼겠다고 약속했습니다.,노예제 폐지를 지지하는 신문 기사를 읽고 토론했습니다.
41,us_history,The rebellion of Nat Turner had all the following effects EXCEPT:,Fifty or sixty white people were killed.,The Southern states passed harsh new laws limiting the rights of slaves.,Southerners blamed William Lloyd Garrison and The Liberator for the uprising.,Nat Turner and several of his followers were hanged as criminals.,The rebellion inspired other successful uprisings throughout the South.,E,냇 터너의 반란은 다음과 같은 모든 영향을 미쳤습니다:,백인 50~60명이 사망했습니다.,남부 주들은 노예의 권리를 제한하는 가혹한 새 법을 통과시켰습니다.,남부 사람들은 봉기의 원인으로 윌리엄 로이드 개리슨과 리버레이터를 비난했습니다.,냇 터너와 그의 추종자 몇 명은 범죄자로 몰려 교수형에 처해졌습니다.,이 반란은 남부 전역의 다른 성공적인 봉기에 영감을 주었습니다.
42,us_history,The Second Great Awakening gave rise to or supported all the following movements EXCEPT:,women's education,temperance,abolition,women's suffrage,the Whig Party,E,2차 대각성 운동은 다음 운동을 제외한 모든 운동을 일으켰거나 지원했습니다:,여성 교육,절제,폐지,여성 참정권,휘그 파티
43,us_history,All these inventions helped revolutionize the U.S. economy in the early nineteenth century EXCEPT:,the cotton gin,the locomotive,the incandescent lightbulb,the steamboat,the spinning jenny,C,이 모든 발명품은 19세기 초 미국 경제에 혁명을 일으킨 것을 제외하고는 모두 19세기 초 미국 경제에 혁명을 일으켰습니다:,코튼 진,기관차,백열전구,증기선,회전하는 제니
44,us_history,Which of the following social classes did NOT make up a significant part of Southern society?,Wealthy planters,Immigrants,Slaves,Small farmers,Poor whites,B,다음 중 남부 사회에서 중요한 부분을 차지하지 않는 사회 계층은?,부유한 농장주,이민자,노예,소규모 농부,불쌍한 백인
45,us_history,Which of the following was the primary reason for the wave of Irish immigration in the 1840s?,Desire to buy land,Desire for economic opportunity,Widespread starvation in the wake of the potato famine,Religious oppression,Political oppression from Great Britain,C,다음 중 1840년대 아일랜드 이민 물결의 주된 이유는 무엇인가요?,토지 구매 욕구,경제적 기회에 대한 욕구,감자 기근의 여파로 인한 광범위한 기아,종교적 억압,영국의 정치적 억압
46,us_history,"Between 1830 and 1850, the United States gained land that would become all the following present-day states EXCEPT:",California,North Dakota,Washington,Oregon,Texas,B,1830년에서 1850년 사이에 미국은 다음과 같은 주를 제외한 현재의 모든 주가 될 땅을 획득했습니다:,캘리포니아,노스다코타,워싱턴,오레곤,텍사스
47,us_history,The Gold Rush of 1849 had all the following immediate effects on California society EXCEPT:,The population became more ethnically diverse.,Many entrepreneurs made their fortunes from the miners.,The population grew by many thousands.,More and more people turned to farming to make a living.,Society became violent and lawless.,D,1849년의 골드러시는 캘리포니아 사회에 다음과 같은 모든 즉각적인 영향을 미쳤습니다:,인구는 더욱 인종적으로 다양해졌습니다.,많은 기업가들이 채굴을 통해 돈을 벌었습니다.,인구는 수천 명 증가했습니다.,점점 더 많은 사람들이 생계를 위해 농업에 뛰어들었습니다.,사회는 폭력적이고 무법천지가 되었습니다.
48,us_history,The Fugitive Slave Act of 1850 made it legal to do which of the following?,Prevent an African American from testifying in his or her own defense,Help a slave escape to a free state,Become a free person simply by crossing the border into a free state,Join the Free-Soil Party and speak out in favor of abolition,Execute any slave who was proved to have escaped from his or her owner,A,다음 중 1850년 도망자 노예법에 의해 합법화된 행위는 무엇인가요?,아프리카계 미국인이 자신의 변호를 위해 증언하는 것을 방지합니다.,노예가 자유 상태로 탈출하도록 도와주세요.,국경을 넘어 자유 국가로 이동하는 것만으로도 자유인이 될 수 있습니다.,자유 토양 파티에 가입하고 폐지에 찬성하는 목소리를 내세요.,주인에게서 도망친 것으로 확인된 노예를 처형합니다.
49,us_history,The immediate cause of Southern secession from the Union was,the raid on Harpers Ferry,the Pottawatomie Massacre,the election of Abraham Lincoln,the passage of the Kansas-Nebraska Act,the determination of Kansas to be a free state,C,남부가 연방에서 탈퇴한 직접적인 원인은 다음과 같습니다.,하퍼스 페리 급습,포타와토미 대학살,아브라함 링컨의 선거,캔자스-네브래스카 법안 통과,캔자스가 자유 주가 되기로 결정한 것
